time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
2,0,1,1,0,4,0,1,0
30,0,1,1,3,1,1,1,0
53,0,1,1,0,4,2,1,0
79,0,1,1,0,4,1,3,0
89,0,1,1,0,4,4,1,0
97,0,1,1,0,4,5,1,0
101,0,1,1,0,4,6,1,0
115,0,1,1,0,4,7,1,0
144,0,1,1,0,4,6,3,0
252,0,1,1,0,4,9,1,0
282,0,1,1,0,4,10,1,0
388,0,1,1,0,4,9,1,1
568,0,1,1,0,4,8,1,2
603,0,1,1,0,4,4,4,3
609,0,1,1,0,4,4,3,4
618,0,1,1,0,4,2,4,5
729,0,1,1,1,3,2,3,6
782,0,1,1,2,2,2,2,7
833,0,1,1,0,4,2,1,8
2429,0,1,1,0,4,1,1,9
2879,0,1,1,3,1,0,1,10
2959,1,0,0,4,0,0,0,11
