job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,2,0,606,vgg19,164,30
1,16,30,133,vgg11,147,23
2,4,53,157,inception4,127,26
3,2,79,513,vgg16,121,20
4,8,99,138,vgg16,121,33
5,16,132,288,vgg16,138,44
6,2,176,326,vgg16,121,28
7,4,204,192,vgg16,124,23
8,4,227,235,vgg16,155,25
9,2,252,822,resnet50,126,30
10,2,282,1501,resnet50,230,29
11,2,311,1360,vgg19,368,26
12,4,337,198,vgg19,131,26
13,16,363,581,resnet50,196,38
14,2,401,789,resnet50,121,33
15,2,434,3304,alexnet,180,37
16,8,471,391,alexnet,143,33
17,4,504,193,vgg11,122,27
18,2,531,3469,alexnet,189,23
19,2,554,892,googlenet,125,29
20,2,583,2275,vgg16,536,28
21,4,611,468,alexnet,126,34
22,2,645,473,resnet101,123,35
23,16,680,168,resnet152,121,27
24,8,707,864,googlenet,121,26
25,2,733,253,inception4,121,28
26,2,761,775,vgg11,121,32
27,16,793,109,vgg19,121,34
28,2,827,1085,googlenet,152,34
29,2,861,513,vgg16,121,31
30,2,892,903,vgg11,141,26
31,2,918,864,googlenet,121,26
32,16,944,237,resnet101,125,29
33,2,973,775,vgg11,121,35
34,16,1008,2178,googlenet,305,34
35,8,1042,143,vgg11,121,25
36,8,1067,175,resnet152,123,33
37,2,1100,326,resnet152,121,39
38,4,1139,274,inception3,121,26
39,2,1165,447,vgg19,121,29
40,2,1194,2239,alexnet,122,29
41,4,1223,410,resnet50,123,25
42,2,1248,1011,resnet101,263,26
43,2,1274,438,inception4,209,41
44,2,1315,607,resnet101,158,32
45,4,1347,258,resnet101,121,34
46,2,1381,521,inception3,121,33
47,16,1414,272,alexnet,121,33
48,16,1447,147,inception4,126,24
49,2,1471,4861,resnet152,1800,28
50,8,1499,242,resnet101,126,38
51,2,1537,272,inception4,130,43
52,8,1580,141,vgg19,121,32
53,2,1612,521,inception3,121,32
54,8,1644,362,inception3,171,32
55,16,1676,126,vgg16,135,25
56,4,1701,949,googlenet,133,28
57,8,1729,386,resnet50,128,21
58,8,1750,144,inception4,122,29
59,2,1779,525,inception3,122,33
