job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,0,1212,vgg19,164,30
1,8,30,266,vgg11,147,23
2,2,53,314,inception4,127,26
3,1,79,1026,vgg16,121,20
4,4,99,276,vgg16,121,33
5,8,132,576,vgg16,138,44
6,1,176,652,vgg16,121,28
7,2,204,384,vgg16,124,23
8,2,227,470,vgg16,155,25
9,1,252,1644,resnet50,126,30
10,1,282,3002,resnet50,230,29
11,1,311,2720,vgg19,368,26
12,2,337,396,vgg19,131,26
13,8,363,1062,resnet50,196,38
14,1,401,1578,resnet50,121,33
15,1,434,6608,alexnet,180,37
16,4,471,782,alexnet,143,33
17,2,504,386,vgg11,122,27
18,1,531,6938,alexnet,189,23
19,1,554,1784,googlenet,125,29
20,1,583,4550,vgg16,536,28
21,2,611,936,alexnet,126,34
22,1,645,946,resnet101,123,35
23,8,680,336,resnet152,121,27
24,4,707,1728,googlenet,121,26
25,1,733,506,inception4,121,28
26,1,761,1550,vgg11,121,32
27,8,793,218,vgg19,121,34
28,1,827,2170,googlenet,152,34
29,1,861,1026,vgg16,121,31
30,1,892,1806,vgg11,141,26
31,1,918,1728,googlenet,121,26
32,8,944,474,resnet101,125,29
33,1,973,1550,vgg11,121,35
34,8,1008,4356,googlenet,305,34
35,4,1042,286,vgg11,121,25
36,4,1067,350,resnet152,123,33
37,1,1100,652,resnet152,121,39
38,2,1139,548,inception3,121,26
39,1,1165,894,vgg19,121,29
40,1,1194,4478,alexnet,122,29
41,2,1223,820,resnet50,123,25
42,1,1248,2022,resnet101,263,26
43,1,1274,876,inception4,209,41
44,1,1315,1214,resnet101,158,32
45,2,1347,516,resnet101,121,34
46,1,1381,1042,inception3,121,33
47,8,1414,544,alexnet,121,33
48,8,1447,294,inception4,126,24
49,1,1471,9722,resnet152,1800,28
50,4,1499,484,resnet101,126,38
51,1,1537,544,inception4,130,43
52,4,1580,282,vgg19,121,32
53,1,1612,1042,inception3,121,32
54,4,1644,724,inception3,171,32
55,8,1676,252,vgg16,135,25
56,2,1701,1898,googlenet,133,28
57,4,1729,772,resnet50,128,21
58,4,1750,288,inception4,122,29
59,1,1779,1050,inception3,122,33
