time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,31,1,1,127,1,0,1,0
30,29,3,3,119,9,0,2,0
53,29,3,3,117,11,0,3,0
79,4,28,28,17,111,5,4,0
112,4,28,28,17,111,5,4,0
145,4,28,28,17,111,5,4,0
164,4,28,28,18,110,5,3,1
177,6,26,26,26,102,5,2,2
180,7,25,25,28,100,5,1,3
213,7,25,25,28,100,5,1,3
246,7,25,25,28,100,5,1,3
252,6,26,26,27,101,5,2,3
282,6,26,26,26,102,5,3,3
311,6,26,26,25,103,5,4,3
337,5,27,27,23,105,5,5,3
363,3,29,29,15,113,5,6,3
378,4,28,28,16,112,5,5,4
401,3,29,29,15,113,5,6,4
434,3,29,29,14,114,5,7,4
468,4,28,28,16,112,5,6,5
471,3,29,29,12,116,5,7,5
504,2,30,30,10,118,5,8,5
512,2,30,30,11,117,5,7,6
522,3,29,29,12,116,5,6,7
531,2,30,30,11,117,5,7,7
554,2,30,30,10,118,5,8,7
559,4,28,28,18,110,5,7,8
583,4,28,28,17,111,5,8,8
611,3,29,29,15,113,5,9,8
614,5,27,27,20,108,5,7,10
626,5,27,27,22,106,5,6,11
645,5,27,27,21,107,5,7,11
679,5,27,27,23,105,5,5,13
680,3,29,29,15,113,5,6,13
707,2,30,30,11,117,5,7,13
720,3,29,29,12,116,5,6,14
733,2,30,30,11,117,5,7,14
737,3,29,29,13,115,5,6,15
761,3,29,29,12,116,5,7,15
768,3,29,29,13,115,5,6,16
793,1,31,31,5,123,5,7,16
801,3,29,29,13,115,5,6,17
827,3,29,29,12,116,5,7,17
828,4,28,28,16,112,5,6,18
854,4,28,28,17,111,5,5,19
861,4,28,28,16,112,5,6,19
882,4,28,28,17,111,5,5,20
892,4,28,28,16,112,5,6,20
914,6,26,26,24,104,5,5,21
918,5,27,27,23,105,5,6,21
944,3,29,29,15,113,5,7,21
973,3,29,29,14,114,5,8,21
979,3,29,29,15,113,5,7,22
982,4,28,28,16,112,5,6,23
1008,2,30,30,8,120,5,7,23
1033,2,30,30,9,119,5,6,24
1039,2,30,30,10,118,5,5,25
1042,1,31,31,6,122,5,6,25
1067,0,32,32,2,126,5,7,25
1069,2,30,30,10,118,5,6,26
1094,2,30,30,11,117,5,5,27
1100,2,30,30,10,118,5,6,27
1119,2,30,30,11,117,5,5,28
1139,2,30,30,9,119,5,6,28
1163,3,29,29,13,115,5,5,29
1165,3,29,29,12,116,5,6,29
1190,4,28,28,16,112,5,5,30
1194,3,29,29,15,113,5,6,30
1221,4,28,28,16,112,5,5,31
1223,3,29,29,14,114,5,6,31
1248,3,29,29,13,115,5,7,31
1260,3,29,29,15,113,5,6,32
1274,3,29,29,14,114,5,7,32
1286,3,29,29,15,113,5,6,33
1313,5,27,27,23,105,5,5,34
1315,5,27,27,22,106,5,6,34
1316,5,27,27,23,105,5,5,35
1346,6,26,26,25,103,5,4,36
1347,5,27,27,23,105,5,5,36
1381,5,27,27,22,106,5,6,36
1414,3,29,29,14,114,5,7,36
1447,1,31,31,6,122,5,8,36
1468,2,30,30,8,120,5,7,37
1471,2,30,30,8,120,6,7,37
1473,2,30,30,9,119,6,6,38
1483,2,30,30,10,118,6,5,39
1499,1,31,31,6,122,6,6,39
1502,1,31,31,7,121,6,5,40
1511,2,30,30,8,120,6,4,41
1535,4,28,28,16,112,6,3,42
1537,3,29,29,15,113,6,4,42
1573,5,27,27,23,105,6,3,43
1580,4,28,28,19,109,6,4,43
1612,4,28,28,18,110,6,5,43
1625,5,27,27,22,106,6,4,44
1644,4,28,28,18,110,6,5,44
1667,4,28,28,19,109,6,4,45
1676,2,30,30,11,117,6,5,45
1701,3,29,29,13,115,6,5,46
1729,2,30,30,9,119,6,6,46
1733,2,30,30,10,118,6,5,47
1750,1,31,31,6,122,6,6,47
1779,1,31,31,5,123,6,7,47
1811,3,29,29,13,115,6,6,48
1815,4,28,28,17,111,6,5,49
1834,4,28,28,19,109,6,4,50
1857,5,27,27,23,105,6,3,51
1872,6,26,26,27,101,6,2,52
1901,7,25,25,28,100,6,1,53
18000625,7,25,25,28,100,5,1,54
36000551,7,25,25,28,100,4,1,55
54000460,7,25,25,28,100,3,1,56
72000357,7,25,25,28,100,2,1,57
90000274,7,25,25,28,100,1,1,58
108000181,7,25,25,28,100,0,1,59
126000079,32,0,0,128,0,0,0,60
