time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote
164,0,1,0,0,164,164,164,164,0,0,1,0
177,1,8,30,30,177,147,147,147,0,0,1,0
180,2,2,53,53,180,127,127,127,0,0,1,0
378,9,1,252,252,378,126,126,126,0,0,1,0
468,12,2,337,337,468,131,131,131,0,0,1,0
512,10,1,282,282,512,230,230,230,0,0,1,0
522,14,1,401,401,522,121,121,121,0,0,1,0
559,13,8,363,363,559,196,196,196,0,0,1,0
614,15,1,434,434,614,180,180,180,0,0,1,0
614,16,4,471,471,614,143,143,143,0,0,1,0
626,17,2,504,504,626,122,122,122,0,0,1,0
679,11,1,311,311,679,368,368,368,0,0,1,0
679,19,1,554,554,679,125,125,125,0,0,1,0
720,18,1,531,531,720,189,189,189,0,0,1,0
737,21,2,611,611,737,126,126,126,0,0,1,0
768,22,1,645,645,768,123,123,123,0,0,1,0
801,23,8,680,680,801,121,121,121,0,0,1,0
828,24,4,707,707,828,121,121,121,0,0,1,0
854,25,1,733,733,854,121,121,121,0,0,1,0
882,26,1,761,761,882,121,121,121,0,0,1,0
914,27,8,793,793,914,121,121,121,0,0,1,0
979,28,1,827,827,979,152,152,152,0,0,1,0
982,29,1,861,861,982,121,121,121,0,0,1,0
1033,30,1,892,892,1033,141,141,141,0,0,1,0
1039,31,1,918,918,1039,121,121,121,0,0,1,0
1069,32,8,944,944,1069,125,125,125,0,0,1,0
1094,33,1,973,973,1094,121,121,121,0,0,1,0
1119,20,1,583,583,1119,536,536,536,0,0,1,0
1163,35,4,1042,1042,1163,121,121,121,0,0,1,0
1190,36,4,1067,1067,1190,123,123,123,0,0,1,0
1221,37,1,1100,1100,1221,121,121,121,0,0,1,0
1260,38,2,1139,1139,1260,121,121,121,0,0,1,0
1286,39,1,1165,1165,1286,121,121,121,0,0,1,0
1313,34,8,1008,1008,1313,305,305,305,0,0,1,0
1316,40,1,1194,1194,1316,122,122,122,0,0,1,0
1346,41,2,1223,1223,1346,123,123,123,0,0,1,0
1468,45,2,1347,1347,1468,121,121,121,0,0,1,0
1473,44,1,1315,1315,1473,158,158,158,0,0,1,0
1483,43,1,1274,1274,1483,209,209,209,0,0,1,0
1502,46,1,1381,1381,1502,121,121,121,0,0,1,0
1511,42,1,1248,1248,1511,263,263,263,0,0,1,0
1535,47,8,1414,1414,1535,121,121,121,0,0,1,0
1573,48,8,1447,1447,1573,126,126,126,0,0,1,0
1625,50,4,1499,1499,1625,126,126,126,0,0,1,0
1667,51,1,1537,1537,1667,130,130,130,0,0,1,0
1701,52,4,1580,1580,1701,121,121,121,0,0,1,0
1733,53,1,1612,1612,1733,121,121,121,0,0,1,0
1811,55,8,1676,1676,1811,135,135,135,0,0,1,0
1815,54,4,1644,1644,1815,171,171,171,0,0,1,0
1834,56,2,1701,1701,1834,133,133,133,0,0,1,0
1857,57,4,1729,1729,1857,128,128,128,0,0,1,0
1872,58,4,1750,1750,1872,122,122,122,0,0,1,0
1901,59,1,1779,1779,1901,122,122,122,0,0,1,0
18000625,3,100,79,79,18000625,18000546,18000546,18000000,546,3,4,0
36000551,4,100,79,112,36000551,36000439,36000472,18000000,18000472,2,3,0
54000460,5,100,79,145,54000460,54000315,54000381,18000000,36000381,2,3,0
72000357,6,100,79,180,72000357,72000177,72000278,18000000,54000278,2,3,0
90000274,7,100,79,213,90000274,90000061,90000195,18000000,72000195,2,3,0
108000181,8,100,79,246,108000181,107999935,108000102,18000000,90000102,2,3,0
126000079,49,100,1471,1471,126000079,125998608,125998608,18000000,107998608,1,2,0
