time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,31,1,1,127,1,0,1,0
30,29,3,3,119,9,0,2,0
53,29,3,3,117,11,0,3,0
79,4,28,28,17,111,496,4,0
112,4,28,28,17,111,496,4,0
145,4,28,28,17,111,496,4,0
164,4,28,28,18,110,496,3,1
177,6,26,26,26,102,496,2,2
178,6,26,26,26,102,496,2,2
180,7,25,25,28,100,496,1,3
211,7,25,25,28,100,496,1,3
244,7,25,25,28,100,496,1,3
252,6,26,26,27,101,496,2,3
277,6,26,26,27,101,496,2,3
310,6,26,26,27,101,496,2,3
343,6,26,26,27,101,496,2,3
376,6,26,26,27,101,496,2,3
378,7,25,25,28,100,496,1,4
409,7,25,25,28,100,496,1,4
442,7,25,25,28,100,496,1,4
475,7,25,25,28,100,496,1,4
508,7,25,25,28,100,496,1,4
541,7,25,25,28,100,496,1,4
574,7,25,25,28,100,496,1,4
607,7,25,25,28,100,496,1,4
640,7,25,25,28,100,496,1,4
673,7,25,25,28,100,496,1,4
706,7,25,25,28,100,496,1,4
739,7,25,25,28,100,496,1,4
772,7,25,25,28,100,496,1,4
805,7,25,25,28,100,496,1,4
838,7,25,25,28,100,496,1,4
871,7,25,25,28,100,496,1,4
904,7,25,25,28,100,496,1,4
937,7,25,25,28,100,496,1,4
970,7,25,25,28,100,496,1,4
1003,7,25,25,28,100,496,1,4
1036,7,25,25,28,100,496,1,4
1069,7,25,25,28,100,496,1,4
1102,7,25,25,28,100,496,1,4
1135,7,25,25,28,100,496,1,4
1168,7,25,25,28,100,496,1,4
1201,7,25,25,28,100,496,1,4
1234,7,25,25,28,100,496,1,4
1267,7,25,25,28,100,496,1,4
1300,7,25,25,28,100,496,1,4
1333,7,25,25,28,100,496,1,4
1366,7,25,25,28,100,496,1,4
1399,7,25,25,28,100,496,1,4
1432,7,25,25,28,100,496,1,4
1465,7,25,25,28,100,496,1,4
1498,7,25,25,28,100,496,1,4
1531,7,25,25,28,100,496,1,4
1564,7,25,25,28,100,496,1,4
1597,7,25,25,28,100,496,1,4
1630,7,25,25,28,100,496,1,4
1663,7,25,25,28,100,496,1,4
1696,7,25,25,28,100,496,1,4
1729,7,25,25,28,100,496,1,4
1762,7,25,25,28,100,496,1,4
1795,7,25,25,28,100,496,1,4
1828,7,25,25,28,100,496,1,4
1861,7,25,25,28,100,496,1,4
1894,7,25,25,28,100,496,1,4
1927,7,25,25,28,100,496,1,4
1960,7,25,25,28,100,496,1,4
1993,7,25,25,28,100,496,1,4
2026,7,25,25,28,100,496,1,4
2059,7,25,25,28,100,496,1,4
2092,7,25,25,28,100,496,1,4
2125,7,25,25,28,100,496,1,4
2158,7,25,25,28,100,496,1,4
2191,7,25,25,28,100,496,1,4
2224,7,25,25,28,100,496,1,4
2257,7,25,25,28,100,496,1,4
2290,7,25,25,28,100,496,1,4
2323,7,25,25,28,100,496,1,4
2356,7,25,25,28,100,496,1,4
2389,7,25,25,28,100,496,1,4
2422,7,25,25,28,100,496,1,4
2455,7,25,25,28,100,496,1,4
2488,7,25,25,28,100,496,1,4
2521,7,25,25,28,100,496,1,4
2554,7,25,25,28,100,496,1,4
2587,7,25,25,28,100,496,1,4
2620,7,25,25,28,100,496,1,4
2653,7,25,25,28,100,496,1,4
2686,7,25,25,28,100,496,1,4
2719,7,25,25,28,100,496,1,4
2752,7,25,25,28,100,496,1,4
2785,7,25,25,28,100,496,1,4
2818,7,25,25,28,100,496,1,4
2851,7,25,25,28,100,496,1,4
2884,7,25,25,28,100,496,1,4
2917,7,25,25,28,100,496,1,4
2950,7,25,25,28,100,496,1,4
2983,7,25,25,28,100,496,1,4
3016,7,25,25,28,100,496,1,4
3049,7,25,25,28,100,496,1,4
3082,7,25,25,28,100,496,1,4
3115,7,25,25,28,100,496,1,4
3148,7,25,25,28,100,496,1,4
3181,7,25,25,28,100,496,1,4
3214,7,25,25,28,100,496,1,4
3247,7,25,25,28,100,496,1,4
3280,7,25,25,28,100,496,1,4
3313,7,25,25,28,100,496,1,4
3346,7,25,25,28,100,496,1,4
3379,7,25,25,28,100,496,1,4
3412,7,25,25,28,100,496,1,4
3445,7,25,25,28,100,496,1,4
3478,7,25,25,28,100,496,1,4
3511,7,25,25,28,100,496,1,4
3544,7,25,25,28,100,496,1,4
3577,7,25,25,28,100,496,1,4
3610,7,25,25,28,100,496,1,4
3643,7,25,25,28,100,496,1,4
3676,7,25,25,28,100,496,1,4
3709,7,25,25,28,100,496,1,4
3742,7,25,25,28,100,496,1,4
3775,7,25,25,28,100,496,1,4
3808,7,25,25,28,100,496,1,4
3841,7,25,25,28,100,496,1,4
3874,7,25,25,28,100,496,1,4
3907,7,25,25,28,100,496,1,4
3940,7,25,25,28,100,496,1,4
3973,7,25,25,28,100,496,1,4
4006,7,25,25,28,100,496,1,4
4039,7,25,25,28,100,496,1,4
4072,7,25,25,28,100,496,1,4
4105,7,25,25,28,100,496,1,4
4138,7,25,25,28,100,496,1,4
4171,7,25,25,28,100,496,1,4
4204,7,25,25,28,100,496,1,4
4237,7,25,25,28,100,496,1,4
4270,7,25,25,28,100,496,1,4
4303,7,25,25,28,100,496,1,4
4336,7,25,25,28,100,496,1,4
4369,7,25,25,28,100,496,1,4
4402,7,25,25,28,100,496,1,4
4435,7,25,25,28,100,496,1,4
4468,7,25,25,28,100,496,1,4
4501,7,25,25,28,100,496,1,4
4534,7,25,25,28,100,496,1,4
4567,7,25,25,28,100,496,1,4
4600,7,25,25,28,100,496,1,4
4633,7,25,25,28,100,496,1,4
4666,7,25,25,28,100,496,1,4
4699,7,25,25,28,100,496,1,4
4732,7,25,25,28,100,496,1,4
4765,7,25,25,28,100,496,1,4
4798,7,25,25,28,100,496,1,4
4831,7,25,25,28,100,496,1,4
4864,7,25,25,28,100,496,1,4
4897,7,25,25,28,100,496,1,4
4930,7,25,25,28,100,496,1,4
4963,7,25,25,28,100,496,1,4
4996,7,25,25,28,100,496,1,4
5029,7,25,25,28,100,496,1,4
5062,7,25,25,28,100,496,1,4
5095,7,25,25,28,100,496,1,4
5128,7,25,25,28,100,496,1,4
5161,7,25,25,28,100,496,1,4
5194,7,25,25,28,100,496,1,4
5227,7,25,25,28,100,496,1,4
5260,7,25,25,28,100,496,1,4
5293,7,25,25,28,100,496,1,4
5326,7,25,25,28,100,496,1,4
5359,7,25,25,28,100,496,1,4
5392,7,25,25,28,100,496,1,4
5425,7,25,25,28,100,496,1,4
5458,7,25,25,28,100,496,1,4
5491,7,25,25,28,100,496,1,4
5524,7,25,25,28,100,496,1,4
5557,7,25,25,28,100,496,1,4
5590,7,25,25,28,100,496,1,4
5623,7,25,25,28,100,496,1,4
5656,7,25,25,28,100,496,1,4
5689,7,25,25,28,100,496,1,4
5722,7,25,25,28,100,496,1,4
5755,7,25,25,28,100,496,1,4
5788,7,25,25,28,100,496,1,4
5821,7,25,25,28,100,496,1,4
5854,7,25,25,28,100,496,1,4
5887,7,25,25,28,100,496,1,4
5920,7,25,25,28,100,496,1,4
5953,7,25,25,28,100,496,1,4
5986,7,25,25,28,100,496,1,4
