time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote
164,0,1,0,0,164,164,164,164,0,0,1,0
177,1,8,30,30,177,147,147,147,0,0,1,0
180,2,2,53,53,180,127,127,127,0,0,1,0
378,9,1,252,252,378,126,126,126,0,0,1,0
18052194,3,100,79,79,18052194,18052115,18052115,18000000,52115,2,3,0
36052089,4,100,79,112,36052089,36051977,36052010,18000000,18052010,2,3,0
54051982,5,100,79,145,54051982,54051837,54051903,18000000,36051903,2,3,0
72051877,6,100,79,180,72051877,72051697,72051798,18000000,54051798,2,3,0
90051772,7,100,79,213,90051772,90051559,90051693,18000000,72051693,2,3,0
108051661,8,100,79,246,108051661,108051415,108051582,18000000,90051582,2,3,0
126051556,10,100,79,285,126051556,126051271,126051477,18000000,108051477,2,3,0
144051451,11,100,79,318,144051451,144051133,144051372,18000000,126051372,2,3,0
162051319,12,100,79,351,162051319,162050968,162051240,18000000,144051240,2,3,0
180051214,13,100,79,411,180051214,180050803,180051135,18000000,162051135,2,3,0
198051109,14,100,79,444,198051109,198050665,198051030,18000000,180051030,2,3,0
216051004,15,100,79,477,216051004,216050527,216050925,18000000,198050925,2,3,0
234050899,16,100,79,510,234050899,234050389,234050820,18000000,216050820,2,3,0
252050794,17,100,79,543,252050794,252050251,252050715,18000000,234050715,2,3,0
270050689,18,100,79,576,270050689,270050113,270050610,18000000,252050610,2,3,0
288050584,19,100,79,609,288050584,288049975,288050505,18000000,270050505,2,3,0
306050479,20,100,79,642,306050479,306049837,306050400,18000000,288050400,2,3,0
324050374,21,100,79,675,324050374,324049699,324050295,18000000,306050295,2,3,0
342050269,22,100,79,708,342050269,342049561,342050190,18000000,324050190,2,3,0
360050164,23,100,79,741,360050164,360049423,360050085,18000000,342050085,2,3,0
378050059,24,100,79,774,378050059,378049285,378049980,18000000,360049980,2,3,0
396049954,25,100,79,807,396049954,396049147,396049875,18000000,378049875,2,3,0
414049849,26,100,79,840,414049849,414049009,414049770,18000000,396049770,2,3,0
432049744,27,100,79,873,432049744,432048871,432049665,18000000,414049665,2,3,0
450049639,28,100,79,906,450049639,450048733,450049560,18000000,432049560,2,3,0
468049534,29,100,79,939,468049534,468048595,468049455,18000000,450049455,2,3,0
486049429,30,100,79,972,486049429,486048457,486049350,18000000,468049350,2,3,0
504049324,31,100,79,1005,504049324,504048319,504049245,18000000,486049245,2,3,0
522049219,32,100,79,1038,522049219,522048181,522049140,18000000,504049140,2,3,0
540049114,33,100,79,1071,540049114,540048043,540049035,18000000,522049035,2,3,0
558049009,34,100,79,1104,558049009,558047905,558048930,18000000,540048930,2,3,0
576048904,35,100,79,1137,576048904,576047767,576048825,18000000,558048825,2,3,0
594048799,36,100,79,1170,594048799,594047629,594048720,18000000,576048720,2,3,0
612048694,37,100,79,1203,612048694,612047491,612048615,18000000,594048615,2,3,0
630048589,38,100,79,1236,630048589,630047353,630048510,18000000,612048510,2,3,0
648048484,39,100,79,1269,648048484,648047215,648048405,18000000,630048405,2,3,0
666048379,40,100,79,1302,666048379,666047077,666048300,18000000,648048300,2,3,0
684048274,41,100,79,1335,684048274,684046939,684048195,18000000,666048195,2,3,0
702048169,42,100,79,1368,702048169,702046801,702048090,18000000,684048090,2,3,0
720048064,43,100,79,1401,720048064,720046663,720047985,18000000,702047985,2,3,0
738047959,44,100,79,1434,738047959,738046525,738047880,18000000,720047880,2,3,0
756047854,45,100,79,1467,756047854,756046387,756047775,18000000,738047775,2,3,0
774047749,46,100,79,1500,774047749,774046249,774047670,18000000,756047670,2,3,0
792047644,47,100,79,1533,792047644,792046111,792047565,18000000,774047565,2,3,0
810047539,48,100,79,1566,810047539,810045973,810047460,18000000,792047460,2,3,0
828047434,49,100,79,1599,828047434,828045835,828047355,18000000,810047355,2,3,0
846047329,50,100,79,1632,846047329,846045697,846047250,18000000,828047250,2,3,0
864047224,51,100,79,1665,864047224,864045559,864047145,18000000,846047145,2,3,0
882047119,52,100,79,1698,882047119,882045421,882047040,18000000,864047040,2,3,0
900047014,53,100,79,1731,900047014,900045283,900046935,18000000,882046935,2,3,0
918046909,54,100,79,1764,918046909,918045145,918046830,18000000,900046830,2,3,0
936046804,55,100,79,1797,936046804,936045007,936046725,18000000,918046725,2,3,0
954046699,56,100,79,1830,954046699,954044869,954046620,18000000,936046620,2,3,0
972046594,57,100,79,1863,972046594,972044731,972046515,18000000,954046515,2,3,0
990046489,58,100,79,1896,990046489,990044593,990046410,18000000,972046410,2,3,0
1008046384,59,100,79,1929,1008046384,1008044455,1008046305,18000000,990046305,2,3,0
1026046279,60,100,79,1962,1026046279,1026044317,1026046200,18000000,1008046200,2,3,0
1044046174,61,100,79,1995,1044046174,1044044179,1044046095,18000000,1026046095,2,3,0
1062046069,62,100,79,2028,1062046069,1062044041,1062045990,18000000,1044045990,2,3,0
1080045964,63,100,79,2061,1080045964,1080043903,1080045885,18000000,1062045885,2,3,0
1098045859,64,100,79,2094,1098045859,1098043765,1098045780,18000000,1080045780,2,3,0
1116045754,65,100,79,2127,1116045754,1116043627,1116045675,18000000,1098045675,2,3,0
1134045649,66,100,79,2160,1134045649,1134043489,1134045570,18000000,1116045570,2,3,0
1152045544,67,100,79,2193,1152045544,1152043351,1152045465,18000000,1134045465,2,3,0
1170045439,68,100,79,2226,1170045439,1170043213,1170045360,18000000,1152045360,2,3,0
1188045334,69,100,79,2259,1188045334,1188043075,1188045255,18000000,1170045255,2,3,0
1206045229,70,100,79,2292,1206045229,1206042937,1206045150,18000000,1188045150,2,3,0
1224045124,71,100,79,2325,1224045124,1224042799,1224045045,18000000,1206045045,2,3,0
1242045019,72,100,79,2358,1242045019,1242042661,1242044940,18000000,1224044940,2,3,0
1260044914,73,100,79,2391,1260044914,1260042523,1260044835,18000000,1242044835,2,3,0
1278044809,74,100,79,2424,1278044809,1278042385,1278044730,18000000,1260044730,2,3,0
1296044704,75,100,79,2457,1296044704,1296042247,1296044625,18000000,1278044625,2,3,0
1314044599,76,100,79,2490,1314044599,1314042109,1314044520,18000000,1296044520,2,3,0
1332044494,77,100,79,2523,1332044494,1332041971,1332044415,18000000,1314044415,2,3,0
1350044389,78,100,79,2556,1350044389,1350041833,1350044310,18000000,1332044310,2,3,0
1368044284,79,100,79,2589,1368044284,1368041695,1368044205,18000000,1350044205,2,3,0
1386044179,80,100,79,2622,1386044179,1386041557,1386044100,18000000,1368044100,2,3,0
1404044074,81,100,79,2655,1404044074,1404041419,1404043995,18000000,1386043995,2,3,0
1422043969,82,100,79,2688,1422043969,1422041281,1422043890,18000000,1404043890,2,3,0
1440043864,83,100,79,2721,1440043864,1440041143,1440043785,18000000,1422043785,2,3,0
1458043759,84,100,79,2754,1458043759,1458041005,1458043680,18000000,1440043680,2,3,0
1476043654,85,100,79,2787,1476043654,1476040867,1476043575,18000000,1458043575,2,3,0
1494043549,86,100,79,2820,1494043549,1494040729,1494043470,18000000,1476043470,2,3,0
1512043444,87,100,79,2853,1512043444,1512040591,1512043365,18000000,1494043365,2,3,0
1530043339,88,100,79,2886,1530043339,1530040453,1530043260,18000000,1512043260,2,3,0
1548043234,89,100,79,2919,1548043234,1548040315,1548043155,18000000,1530043155,2,3,0
1566043129,90,100,79,2952,1566043129,1566040177,1566043050,18000000,1548043050,2,3,0
1584043024,91,100,79,2985,1584043024,1584040039,1584042945,18000000,1566042945,2,3,0
1602042919,92,100,79,3018,1602042919,1602039901,1602042840,18000000,1584042840,2,3,0
1620042814,93,100,79,3051,1620042814,1620039763,1620042735,18000000,1602042735,2,3,0
1638042709,94,100,79,3084,1638042709,1638039625,1638042630,18000000,1620042630,2,3,0
1656042604,95,100,79,3117,1656042604,1656039487,1656042525,18000000,1638042525,2,3,0
1674042499,96,100,79,3150,1674042499,1674039349,1674042420,18000000,1656042420,2,3,0
1692042394,97,100,79,3183,1692042394,1692039211,1692042315,18000000,1674042315,2,3,0
1710042289,98,100,79,3216,1710042289,1710039073,1710042210,18000000,1692042210,2,3,0
1728042184,99,100,79,3249,1728042184,1728038935,1728042105,18000000,1710042105,2,3,0
1746042079,100,100,79,3282,1746042079,1746038797,1746042000,18000000,1728042000,2,3,0
