time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote
97,3,100,79,79,97,18,18,18,0,0,0,0
164,0,1,0,0,164,164,164,164,0,0,0,0
177,1,8,30,30,177,147,147,147,0,0,0,0
180,2,2,53,53,180,127,127,127,0,0,0,0
18000097,4,100,79,97,18000097,18000000,18000018,18000000,18,0,0,0
36000097,5,100,79,18000097,36000097,18000000,36000018,18000000,18000018,0,0,0
54000097,6,100,79,36000097,54000097,18000000,54000018,18000000,36000018,0,0,0
72000097,7,100,79,54000097,72000097,18000000,72000018,18000000,54000018,0,0,0
90000097,8,100,79,72000097,90000097,18000000,90000018,18000000,72000018,0,0,0
108000097,10,100,79,90000097,108000097,18000000,108000018,18000000,90000018,0,0,0
126000097,11,100,79,108000097,126000097,18000000,126000018,18000000,108000018,0,0,0
144000097,12,100,79,126000097,144000097,18000000,144000018,18000000,126000018,0,0,0
162000097,13,100,79,144000097,162000097,18000000,162000018,18000000,144000018,0,0,0
180000097,14,100,79,162000097,180000097,18000000,180000018,18000000,162000018,0,0,0
198000097,15,100,79,180000097,198000097,18000000,198000018,18000000,180000018,0,0,0
216000097,16,100,79,198000097,216000097,18000000,216000018,18000000,198000018,0,0,0
234000097,17,100,79,216000097,234000097,18000000,234000018,18000000,216000018,0,0,0
252000097,18,100,79,234000097,252000097,18000000,252000018,18000000,234000018,0,0,0
270000097,19,100,79,252000097,270000097,18000000,270000018,18000000,252000018,0,0,0
288000097,20,100,79,270000097,288000097,18000000,288000018,18000000,270000018,0,0,0
306000097,21,100,79,288000097,306000097,18000000,306000018,18000000,288000018,0,0,0
324000097,22,100,79,306000097,324000097,18000000,324000018,18000000,306000018,0,0,0
342000097,23,100,79,324000097,342000097,18000000,342000018,18000000,324000018,0,0,0
360000097,24,100,79,342000097,360000097,18000000,360000018,18000000,342000018,0,0,0
378000097,25,100,79,360000097,378000097,18000000,378000018,18000000,360000018,0,0,0
396000097,26,100,79,378000097,396000097,18000000,396000018,18000000,378000018,0,0,0
414000097,27,100,79,396000097,414000097,18000000,414000018,18000000,396000018,0,0,0
432000097,28,100,79,414000097,432000097,18000000,432000018,18000000,414000018,0,0,0
450000097,29,100,79,432000097,450000097,18000000,450000018,18000000,432000018,0,0,0
468000097,30,100,79,450000097,468000097,18000000,468000018,18000000,450000018,0,0,0
486000097,31,100,79,468000097,486000097,18000000,486000018,18000000,468000018,0,0,0
504000097,32,100,79,486000097,504000097,18000000,504000018,18000000,486000018,0,0,0
522000097,33,100,79,504000097,522000097,18000000,522000018,18000000,504000018,0,0,0
540000097,34,100,79,522000097,540000097,18000000,540000018,18000000,522000018,0,0,0
558000097,35,100,79,540000097,558000097,18000000,558000018,18000000,540000018,0,0,0
576000097,36,100,79,558000097,576000097,18000000,576000018,18000000,558000018,0,0,0
594000097,37,100,79,576000097,594000097,18000000,594000018,18000000,576000018,0,0,0
612000097,38,100,79,594000097,612000097,18000000,612000018,18000000,594000018,0,0,0
630000097,39,100,79,612000097,630000097,18000000,630000018,18000000,612000018,0,0,0
648000097,40,100,79,630000097,648000097,18000000,648000018,18000000,630000018,0,0,0
666000097,41,100,79,648000097,666000097,18000000,666000018,18000000,648000018,0,0,0
684000097,42,100,79,666000097,684000097,18000000,684000018,18000000,666000018,0,0,0
702000097,43,100,79,684000097,702000097,18000000,702000018,18000000,684000018,0,0,0
720000097,44,100,79,702000097,720000097,18000000,720000018,18000000,702000018,0,0,0
738000097,45,100,79,720000097,738000097,18000000,738000018,18000000,720000018,0,0,0
756000097,46,100,79,738000097,756000097,18000000,756000018,18000000,738000018,0,0,0
774000097,47,100,79,756000097,774000097,18000000,774000018,18000000,756000018,0,0,0
792000097,48,100,79,774000097,792000097,18000000,792000018,18000000,774000018,0,0,0
